reg_dt,21_lc1,21_lc2,21_lc3,21_lc4,22_lc1,22_lc2,22_lc3,22_lc4,23_lc1,23_lc2,23_lc3,23_lc4,24_lc1,24_lc2,24_lc3,24_lc4,25_lc1,25_lc2,25_lc3,25_lc4,26_lc1,26_lc2,26_lc3,26_lc4,27_lc1,27_lc2,27_lc3,27_lc4,28_lc1,28_lc2,28_lc3,28_lc4,29_lc1,29_lc2,29_lc3,29_lc4,30_lc1,30_lc2,30_lc3,30_lc4,31_lc1,31_lc2,31_lc3,31_lc4,32_lc1,32_lc2,32_lc3,32_lc4,33_lc1,33_lc2,33_lc3,33_lc4,34_lc1,34_lc2,34_lc3,34_lc4,35_lc1,35_lc2,35_lc3,35_lc4,36_lc1,36_lc2,36_lc3,36_lc4,37_lc1,37_lc2,37_lc3,37_lc4,38_lc1,38_lc2,38_lc3,38_lc4,39_lc1,39_lc2,39_lc3,39_lc4,40_lc1,40_lc2,40_lc3,40_lc4,41_lc1,41_lc2,41_lc3,41_lc4,42_lc1,42_lc2,42_lc3,42_lc4,43_lc1,43_lc2,43_lc3,43_lc4,44_lc1,44_lc2,44_lc3,44_lc4,45_lc1,45_lc2,45_lc3,45_lc4,46_lc1,46_lc2,46_lc3,46_lc4,47_lc1,47_lc2,47_lc3,47_lc4,48_lc1,48_lc2,48_lc3,48_lc4,49_lc1,49_lc2,49_lc3,49_lc4,50_lc1,50_lc2,50_lc3,50_lc4,51_lc1,51_lc2,51_lc3,51_lc4,52_lc1,52_lc2,52_lc3,52_lc4,53_lc1,53_lc2,53_lc3,53_lc4,54_lc1,54_lc2,54_lc3,54_lc4,55_lc1,55_lc2,55_lc3,55_lc4,56_lc1,56_lc2,56_lc3,56_lc4,57_lc1,57_lc2,57_lc3,57_lc4,58_lc1,58_lc2,58_lc3,58_lc4,59_lc1,59_lc2,59_lc3,59_lc4,60_lc1,60_lc2,60_lc3,60_lc4,21_ble,22_ble,23_ble,24_ble,25_ble,26_ble,27_ble,28_ble,29_ble,30_ble,31_ble,32_ble,33_ble,34_ble,35_ble,36_ble,37_ble,38_ble,39_ble,40_ble,41_ble,42_ble,43_ble,44_ble,45_ble,46_ble,47_ble,48_ble,49_ble,50_ble,51_ble,52_ble,53_ble,54_ble,55_ble,56_ble,57_ble,58_ble,59_ble,60_ble
2021-09-15 10:05:59.706085,0,93,52,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,708,624,999,999,999,999,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,60,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,62,0,0,0,0,0,0,54,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,63,-72,0,0,0,0,0,0,0,-66,-72,0,0,0,-61,0,-54,-54,-60,0,0,-68,0,0,0,0,0,0,0,0,0,-73,0,-60,-60,-62,-58,-59,0,-68,-64
2021-09-15 10:06:00.018581,0,94,52,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,82,0,0,0,0,0,0,0,964,999,999,999,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,61,0,0,0,0,60,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,62,0,0,0,0,0,0,54,0,0,71,0,0,0,0,0,0,0,0,0,0,0,51,0,67,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-15 10:06:00.330938,0,93,52,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,51,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,86,0,0,0,0,0,0,0,0,410,999,405,0,0,0,0,0,0,0,0,999,999,999,999,171,0,0,0,0,0,62,0,0,0,0,59,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,62,0,0,0,0,0,0,54,0,0,71,0,0,0,0,0,0,0,0,0,0,0,57,0,58,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-15 10:06:00.643511,0,94,53,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,999,999,999,999,178,0,0,0,0,0,62,0,0,0,0,59,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,62,0,0,0,0,0,0,55,0,0,71,0,0,0,0,0,0,0,0,0,0,0,55,0,67,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,-60,0,-63,-73,0,0,0,-61,-54,0,0,-55,-61,-56,-64,0,-85,0,-67,-69,-66,0,0,0,-68,-65,0,-64,-61,0,0,0,0,0
2021-09-15 10:06:00.955921,0,94,53,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,999,565,999,999,62,999,999,581,0,0,58,0,0,0,0,55,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,62,0,0,0,0,0,0,54,0,0,71,0,0,0,0,0,0,0,0,0,0,0,56,0,67,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,-60,0,-63,-73,0,0,0,-61,-54,0,0,-55,-61,-56,-64,0,-85,0,-67,-69,-66,0,0,0,-68,-65,0,-64,-61,0,0,0,0,0
2021-09-15 10:06:01.268395,0,93,54,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,249,62,999,999,581,0,0,58,0,0,0,0,55,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,62,0,0,0,0,0,0,55,0,0,71,0,0,0,0,0,0,0,0,0,0,0,54,0,66,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,63,0,0,-68,0,0,0,0,0,0,-66,0,0,-64,0,0,-71,-51,0,0,-48,-73,0,0,0,-74,0,-67,0,-73,-68,0,-67,-65,-65,0,0,-62,-58,0,0
2021-09-15 10:06:01.580758,0,94,54,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565,999,999,999,0,0,58,0,0,0,0,55,86,92,77,111,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,62,0,0,0,0,0,0,54,0,0,71,0,0,0,0,0,0,0,0,0,0,0,53,0,66,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,51,55,0,0,0,0,0,0,0,0,0,63,-68,0,0,0,0,0,0,0,0,-71,-70,0,0,0,0,0,-57,0,0,-46,0,0,0,0,-67,-64,0,0,0,0,0,-68,-75,0,-61,-55,-57,-59,0,-52
2021-09-15 10:06:01.893265,0,94,54,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,51,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,999,999,999,0,0,52,0,0,0,0,52,785,96,435,173,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,62,0,0,0,0,0,0,54,0,0,71,0,0,0,0,0,0,0,0,0,0,0,53,0,66,0,0,0,0,0,0,0,0,0,70,0,0,51,0,0,0,51,54,0,0,0,0,0,0,0,0,0,63,-71,0,-66,0,0,0,0,0,-60,0,-70,0,0,-66,-64,0,0,-60,-56,0,0,-74,0,-75,-80,-66,0,-64,-67,-62,-68,0,0,-63,-58,0,0,0,-61,-66
2021-09-15 10:06:02.205724,0,94,54,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,51,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,109,0,0,60,0,106,70,74,0,999,999,999,999,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,62,0,0,0,0,0,0,54,0,0,71,0,0,0,0,0,0,0,0,0,0,0,53,0,67,0,0,0,0,0,0,0,0,0,70,0,0,52,0,0,0,51,54,0,0,0,0,0,0,0,0,0,64,0,0,-77,0,0,0,-65,0,-69,0,0,0,-67,-65,-66,-67,-66,-65,-55,0,-68,0,0,0,0,-65,0,-62,0,-73,-69,0,0,-62,-60,-58,0,-57,-54,-62
2021-09-15 10:06:02.518071,0,94,54,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,51,0,0,58,0,89,102,53,77,999,999,999,999,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,62,0,0,0,0,0,0,55,0,0,71,0,0,0,0,0,0,0,0,0,0,0,53,0,67,0,0,0,0,0,0,0,0,0,70,0,0,51,0,0,0,0,54,0,0,0,0,0,0,0,0,0,66,0,0,-71,0,0,0,0,0,-59,0,-66,0,-63,-62,-55,0,-64,-61,-55,-74,0,0,0,0,-68,0,0,0,0,0,0,0,-66,-66,-56,0,0,0,0,-59
2021-09-15 10:06:02.830497,0,94,54,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,51,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,126,68,999,999,469,999,0,242,999,990,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,62,0,0,0,0,0,0,55,0,0,71,0,0,0,0,0,0,0,0,0,0,0,53,0,67,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,51,54,0,0,0,0,0,0,0,0,0,71,0,0,-76,0,0,0,-64,0,0,0,-62,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-60,-70,-57,0,0,0,0,0
2021-09-15 10:06:03.142930,0,94,55,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,51,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,53,130,60,999,999,942,999,0,0,0,53,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,62,0,0,0,0,0,0,55,0,0,71,0,0,0,0,0,0,0,0,0,0,0,54,0,67,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,51,54,0,0,0,0,0,0,0,0,0,71,0,0,-68,0,0,0,0,0,0,-68,0,0,0,-55,-56,-62,-54,0,-62,-58,0,-72,0,-74,-65,0,0,0,-73,-68,-71,0,0,0,0,-55,0,0,0,0
2021-09-15 10:06:03.455354,0,94,55,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,194,64,999,999,999,999,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,62,0,0,0,0,0,0,55,0,0,71,0,0,0,0,0,0,0,0,0,0,0,54,0,67,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,51,55,0,0,0,0,0,0,0,0,0,68,0,0,-68,0,0,0,0,0,0,-68,0,0,0,-55,-56,-62,-54,0,-62,-58,0,-72,0,-74,-65,0,0,0,-73,-68,-71,0,0,0,0,-55,0,0,0,0
2021-09-15 10:06:03.767775,0,94,55,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,51,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,999,999,832,866,999,167,742,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,62,0,0,0,0,0,0,55,0,0,71,0,0,0,0,0,0,0,0,0,0,0,54,0,67,0,0,0,0,0,0,0,0,0,71,0,0,0,0,66,74,0,59,0,0,0,0,0,0,0,0,63,57,-65,0,-63,0,0,0,-67,0,0,0,0,-69,0,0,0,0,0,-62,-63,-55,-77,-72,0,-74,0,0,-63,0,0,-62,0,0,0,-58,-57,-50,-50,0,0,0
2021-09-15 10:06:04.080227,0,94,55,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,51,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,999,999,999,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,62,0,0,0,0,0,0,55,0,0,71,0,0,0,0,0,0,0,0,0,0,0,56,0,66,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,-66,0,0,0,0,0,-56,-69,0,-72,-55,-56,-45,-62,0,0,0,0,-63,0,0,-68,0,0,0,-59,0,0,0,-71,0,0,-53,-49,0,-58,0,0
2021-09-15 10:06:04.392659,0,94,55,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,58,976,59,999,999,0,0,0,0,0,0,0,0,0,999,999,999,0,0,0,62,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,63,0,0,0,0,0,0,55,0,0,71,0,0,0,0,0,0,0,0,0,0,0,63,0,64,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,51,0,-66,0,-67,0,0,0,-73,0,-55,0,0,-63,0,-57,0,-54,-64,0,-65,-63,-66,-78,0,-70,-66,0,0,-43,-70,-61,0,0,-60,-58,-57,0,0,-62,0,-66
2021-09-15 10:06:04.705058,0,95,55,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,52,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,70,999,232,999,999,0,0,0,0,0,0,0,0,0,180,326,214,0,0,0,89,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,63,0,0,0,0,0,0,55,0,0,71,0,0,0,0,0,0,0,0,0,0,0,59,0,59,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,-62,0,0,0,-68,0,0,0,-51,0,0,0,-55,0,0,0,-66,-66,0,0,-68,0,-68,-64,0,0,-66,-56,-70,-58,-55,-53,-55,0,-67,-62,-73,-72
2021-09-15 10:06:05.017484,0,93,55,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,52,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,173,314,999,470,999,651,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,63,0,0,0,0,0,0,55,0,0,71,0,0,0,0,0,0,0,0,0,0,0,59,0,63,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,-68,0,0,0,0,0,-66,0,-50,0,0,0,0,-61,0,0,0,-77,-65,0,0,0,0,0,-63,-62,0,0,-63,0,0,-67,-55,0,-61,0,0,0,0,-73
2021-09-15 10:06:05.329911,0,94,55,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,51,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,52,0,0,999,999,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,69,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,63,0,0,0,0,0,0,55,0,0,71,0,0,0,0,0,0,0,0,0,0,0,57,0,67,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-15 10:06:05.642367,0,92,56,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,51,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,65,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,63,0,0,0,0,0,0,55,0,0,71,0,0,0,0,0,0,0,0,0,0,0,54,0,64,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,-59,0,-66,0,0,0,0,0,0,-57,-53,0,-51,0,-67,-63,0,0,0,-73,-66,0,0,-66,0,0,0,0,-62,-60,0,-60,-58,-57,0,0,-65,0,-68,0
2021-09-15 10:06:05.954765,0,94,56,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,142,999,999,0,56,0,0,0,0,0,0,740,999,999,853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,64,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,63,0,0,0,0,0,0,52,0,0,71,0,0,0,0,0,0,0,0,0,0,0,59,0,60,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,-59,0,-66,0,0,0,0,0,0,-57,-53,0,-51,0,-67,-63,0,0,0,-73,-66,0,0,-66,0,0,0,0,-62,-60,0,-60,-58,-57,0,0,-65,0,-68,0
2021-09-15 10:06:06.267210,0,94,56,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,505,999,999,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,64,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,62,0,0,0,0,0,0,54,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,-62,0,0,0,0,0,0,0,-45,0,-64,-54,0,-68,-67,-69,0,0,-67,0,-65,0,0,0,0,0,-62,-56,0,0,-55,0,0,-67,0,0,0,0,-68,-69
2021-09-15 10:06:06.579632,0,93,56,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,188,999,167,999,999,999,999,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,63,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,62,0,0,0,0,0,0,57,0,0,72,0,0,0,0,0,0,0,0,0,0,0,51,0,69,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,-62,0,0,0,0,0,0,0,-45,0,-64,-54,0,-68,-67,-69,0,0,-67,0,-65,0,0,0,0,0,-62,-56,0,0,-55,0,0,-67,0,0,0,0,-68,-69
2021-09-15 10:06:06.892044,0,93,56,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844,999,999,999,102,121,0,281,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,62,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,62,0,0,0,0,0,0,54,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,-64,0,-57,0,0,0,-49,0,0,0,0,0,-69,0,0,0,-69,0,-73,-67,-57,-65,0,0,-60,0,0,-56,0,-62,0,-67,0,0,0,0,-68,0,-73,-66
2021-09-15 10:06:07.204471,0,91,56,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,60,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,62,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,62,0,0,0,0,0,0,54,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,-53,0,0,0,0,0,-53,0,0,0,-71,-75,0,-70,-61,0,0,-68,0,-68,0,-63,0,0,0,-53,0,-71,-78,0,-69,-79,0,0,0,0,-67,-67
2021-09-15 10:06:07.516896,0,94,56,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,54,0,0,0,509,0,838,999,0,0,0,0,0,0,0,0,550,999,547,601,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,62,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,62,0,0,0,0,0,0,54,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,-53,0,0,0,0,0,-53,0,0,0,-71,-75,0,-70,-61,0,0,-68,0,-68,0,-63,0,0,0,-53,0,-71,-78,0,-69,-79,0,0,0,0,-67,-67
2021-09-15 10:06:07.829325,0,93,57,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,54,0,0,0,999,822,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,61,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,63,0,0,0,0,0,0,55,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,-49,0,-56,0,0,0,-68,0,0,0,0,-69,-71,0,-76,0,0,-71,0,0,0,0,0,-62,0,-60,-59,-63,0,0,0,0,-68,0,0,0,0,0,0,0
2021-09-15 10:06:08.141753,0,91,56,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,51,0,0,0,999,999,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,61,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,62,0,0,0,0,0,0,55,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,-49,0,-56,0,0,0,-68,0,0,0,0,-69,-71,0,-76,0,0,-71,0,0,0,0,0,-62,0,-60,-59,-63,0,0,0,0,-68,0,0,0,0,0,0,0
2021-09-15 10:06:08.454190,0,93,56,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,137,999,999,999,999,714,166,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,61,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,62,0,0,0,0,0,0,54,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,-51,0,-53,0,0,0,-61,0,-68,0,0,-68,-70,-70,0,-73,0,-71,-66,0,0,0,-57,-56,0,-61,-67,0,0,0,-72,0,-69,0,0,0,0,-68,-67,0
